회원번호,아이디,비밀번호,이름,주민등록번호,전화번호,등급,대여권수제한,대여금지일
IDS00001,e5ddvxpba6ach,X5aA2Gb^fC#fsR,강아태,800909-2787048,010-5708-9657,새싹,0,0
IDS00002,tnpwv8kh2z8e0_y,Y4JbZW%Bnz5,이민도,710319-2982600,010-4867-7254,새싹,0,0
IDS00003,lsndw7osz,&U!hfu$512C,강혁,131223-4030388,010-4094-7011,나무,0,0
IDS00004,nod8ld,g6E!H3szddi9a5X!,윤우보,761027-1305924,010-9755-2926,숲,0,0
IDS00005,emrd5v235c,q%vZ3ZMeN#2aQ,박훈지,120527-3510873,010-9911-2826,나무,0,0
IDS00006,qia5l,Qg2xcQEUlp2Q^,김태혁,720413-2703253,010-2193-2352,숲,0,0
IDS00007,titt,w7aIRFP0*zE,최준예,630904-2709199,010-3539-5222,묘목,0,0
IDS00008,uptusg7,GuOTM!$f&4M2@,강현훈,740314-2308102,010-3356-2682,새싹,0,0
IDS00009,rij8al,I$M*Spp5oK,조현아,031224-4249395,010-6114-4489,나무,0,0
IDS00010,efhs2,P@Ls0b!T5B$s9yCR,조예태,790626-2584540,010-8672-5234,묘목,0,0
IDS00011,xxo55f,D&*ThylYXxDSw7A4,최민경,940403-1828810,010-2345-6332,씨앗,0,0
IDS00012,v3hxke1_l,Zy1I&Bx&BwV,윤아,800422-1236658,010-3769-4608,씨앗,0,0
IDS00013,zfw9_kxjqg,ctTwZb%z0s4kBVb,김현,720807-1532800,010-0508-6826,나무,0,0
IDS00014,ozjgqav9albv3o,CTIs5T6&C@WkZql,이연보,081126-3253892,010-7125-6962,나무,0,0
IDS00015,a3epz,nO%x&%U6kNRt7W@,정솔지,740307-1075498,010-0570-7765,묘목,0,0
IDS00016,r0g17wlua7c4w73i,&5GhSPo^GMcq,이경태,960105-1070644,010-1738-1771,새싹,0,0
IDS00017,cgght0_33nq,@UZami6B5F,장도태,600614-1899074,010-3287-1682,새싹,0,0
IDS00018,hmwp,U%e50*3AQWYoA$Mt,정보지,690621-1139769,010-9931-6281,새싹,0,0
IDS00019,drq0jy9b,!3qgvA8&BA*!Z^,김슬영,071015-3453151,010-2824-8533,새싹,0,0
IDS00020,ma5_89t8imy,FAw#^6IftOfKl,김경혁,701008-2547744,010-3260-1736,새싹,0,0
IDS00021,ptk6eu8augydzgp,ZUshN3aq8cwZ^Afr,임윤준,140412-4582938,010-3313-0151,나무,0,0
IDS00022,pmn5msalv,4I*2V*Dzz5HXVZ,조연,100812-3404703,010-2015-7197,숲,0,0
IDS00023,kxqew,%RewP2^zSHH,박윤서,010617-4602462,010-1768-4772,묘목,0,0
IDS00024,hquwb5t47k4r_6d,aqP^yg6AK3Qs89L@,장경우,961106-1237021,010-9045-3481,씨앗,0,0
IDS00025,pq4ouqvez18,@sorOb!Y5oRxnA,김영,630116-1810439,010-7199-1914,씨앗,0,0
IDS00026,cp0yrpznxmk,@ZYGDX*f2Q7,조아민,991216-1484938,010-5419-7544,새싹,0,0
IDS00027,dw2s__tu2j3,^Jm0V@3Bnv,임지,750411-2424780,010-0107-7591,새싹,0,0
IDS00028,fg5e386,!^yRWpkre$XJ6H#,조훈아,120924-3579593,010-7637-3983,묘목,0,0
IDS00029,rxhpc18zjth5r,e*540JGlbYOCW2,이예윤,691206-1081793,010-7259-0356,씨앗,0,0
IDS00030,cqr18ne3rn249jc,s7pNn#q4bciInB$,임훈우,980808-1707561,010-2052-9947,숲,0,0
IDS00031,oiw4qx9d,27W%W^C!CB8Jy%,최지아,130604-3533720,010-8398-4327,나무,0,0
IDS00032,vjsxeg66xr3,*Ubfwsl8&dX,강솔진,600514-2794876,010-9908-7970,씨앗,0,0
IDS00033,h67777_tzjbr,o6Sb2P^#GYF2Grt,윤윤서,710619-1573852,010-4151-3828,묘목,0,0
IDS00034,lwpykxurrhnwz,xTr7k#7zAKogO,조수경,710814-1906784,010-7670-3861,나무,0,0
IDS00035,d_ggmc2x,5^IFr%bFuw1,이도서,100903-3205884,010-0583-5413,숲,0,0
IDS00036,he9j2nsk,RlLOX@m#et1DwdES,김솔현,921126-1980969,010-7055-9473,씨앗,0,0
